Layer,M,N,K,
Attn_Q_proj,32,96,96,
Attn_K_proj,32,96,96,
Attn_V_proj,32,96,96,
QKT_head,32,128,16,
QKTV_head,32,16,128,
Attn_O_proj,32,96,96,
Router_logits,32,8,96,
MoE-E0-FF1,4,672,96,
MoE-E0-FF2,4,96,336,
MoE-E1-FF1,4,672,96,
MoE-E1-FF2,4,96,336,
MoE-E2-FF1,4,672,96,
MoE-E2-FF2,4,96,336,
MoE-E3-FF1,4,672,96,
MoE-E3-FF2,4,96,336,
MoE-E4-FF1,4,672,96,
MoE-E4-FF2,4,96,336,
MoE-E5-FF1,4,672,96,
MoE-E5-FF2,4,96,336,
MoE-E6-FF1,4,672,96,
MoE-E6-FF2,4,96,336,
MoE-E7-FF1,4,672,96,
MoE-E7-FF2,4,96,336,
